COUNTY,TC_ID,Land_A_Acres,Total_A_acres,Can_A_acres,LowVeg_A_acres,Barren_A_acres,Water_A_acres,Build_A_acres,Road_A_acres,Shrub_A_acres,Wetlands_A_acres,Imperv_A_acres,Can_P_land,Can_P,LowVeg_P,Barren_P,Water_P,Build_P,Road_P,Imperv_P,Wetlands_P,Shrub_P,Forest_A_Acres,OutsideForest_Pland,Forest_Pland,TC_InsideForest_P,TC_OutsideForest_P,TC_A_Acres_InsideForest,TC_A_Acres_OutsideForest,2020_Pop
Allegany,1,270209.6402,270945.0293,221271.7366,39513.76797,1460.249481,735.3890733,1793.913158,2824.097963,254.9166292,0,3090.958431,81.88891278,81.66665289,14.5836844,0.538946769,0.271416337,0.662094877,1.042313996,1.140806472,0,0.094084261,156583.4165,23.94004895,57.94886384,70.76521335,29.23478665,156583.4165,64688.32013,"68,106"
Anne Arundel,2,262963.7801,264900.3511,156738.0353,63219.53482,1731.927268,1936.571049,10088.49825,11939.80262,840.9977124,1334.959145,17070.02489,59.60441977,59.16867784,23.86540243,0.653803312,0.73105643,3.808412562,4.507280783,6.443941967,0.503947669,0.317477009,77892.43531,29.98344486,29.62097491,49.69593702,50.30406298,77892.43531,78845.59999,"588,261"
Baltimore,3,380915.3999,383650.124,168726.6464,155267.2799,2596.484996,2734.724147,14046.12246,16414.07748,190.0524551,1529.023356,22145.71274,44.29504464,43.97930194,40.47106209,0.67678461,0.71281722,3.661180222,4.278397544,5.772372106,0.398546295,0.049537963,99549.42887,18.16078257,26.13426207,59.00041931,40.99958069,99549.42887,69177.21753,"854,535"
Baltimore City,4,51650.69421,52025.45102,14809.56763,10911.8939,366.2551478,374.7568085,7729.087884,6643.429651,17.05298945,17.94899356,11155.45802,28.67254324,28.46600527,20.97414571,0.703992259,0.720333608,14.85635921,12.76957627,21.44230909,0.034500409,0.032778167,1890.0777,25.01319707,3.659346169,12.76254478,87.23745522,1890.0777,12919.48993,"585,708"
Calvert,5,136240.5164,137129.4832,90817.47212,32977.90848,320.6997882,888.9667974,2038.854143,2721.182278,357.7416261,2327.709955,4678.94805,66.65966521,66.2275318,24.04873679,0.233866402,0.648268174,1.48680947,1.984388925,3.412065691,1.697454041,0.260878709,61591.55957,21.45170418,45.20796104,67.81906403,32.18093597,61591.55957,29225.91255,"92,783"
Caroline,6,203367.0365,204909.5656,74765.93801,119146.3195,652.3166921,1542.529148,1667.044067,2184.595909,493.509724,1793.097464,2664.215098,36.7640397,36.48728541,58.14580648,0.3183437,0.752785329,0.81355112,1.066126856,1.300190692,0.87506772,0.240842697,36679.00426,18.72817464,18.03586505,49.05844189,50.94155811,36679.00426,38086.93375,"33,293"
Carroll,7,286591.8697,287584.8731,96878.35034,173095.3455,737.1956608,993.003352,4293.18492,4605.726771,303.8919273,0,6678.174644,33.80359339,33.68687278,60.18930816,0.256340208,0.345290537,1.492841008,1.601519135,2.322157828,0,0.105670345,51800.78271,15.72883685,18.07475654,53.46992649,46.53007351,51800.78271,45077.56763,"172,891"
Cecil,8,220959.4085,223157.1371,97753.90302,106788.413,1704.547744,2197.728571,2895.453348,3898.058721,353.2030416,1714.720332,5851.109227,44.24066107,43.80496376,47.85346078,0.763832951,0.984834543,1.297495293,1.746777527,2.621968226,0.768391437,0.158275485,57755.46858,18.10216397,26.1384971,59.08251926,40.91748074,57755.46858,39998.43444,"103,725"
Charles,9,291897.2203,294594.6802,197974.113,72477.60208,1480.965313,2697.459915,3438.942112,4265.531604,1137.483644,4826.296741,6296.28588,67.82322655,67.20220229,24.60248163,0.50271285,0.915651264,1.167346983,1.447932325,2.137270732,1.638283739,0.386118189,145145.7248,18.09828411,49.72494245,73.31550706,26.68449294,145145.7248,52828.38824,"166,617"
Dorchester,10,337574.2917,347126.1752,136989.7278,113259.8151,657.5328396,9551.88346,1440.431382,2402.6286,904.3224199,78936.2011,2983.632409,40.58061622,39.46395796,32.62785212,0.189421855,2.7517036,0.414959022,0.692148496,0.859523891,22.73991613,0.26051692,47252.48185,26.58296208,13.99765415,34.49344896,65.50655104,47252.48185,89737.24595,"32,531"
Frederick,11,422430.6398,424035.8524,181020.9677,211633.5412,2310.285566,1605.212617,5931.879575,8336.752633,596.3826594,0,12600.83052,42.85223434,42.69001468,49.90935082,0.544832602,0.378555872,1.398909913,1.966048999,2.971642715,0,0.140644395,106376.8935,17.67013732,25.18209701,58.76495685,41.23504315,106376.8935,74644.07415,"271,717"
Garrett,12,413876.4441,419967.1944,304933.3546,96853.34451,1645.413944,6090.750296,1318.046264,3083.810413,3302.975836,0.034347648,2739.464123,73.67738825,72.60885105,23.06212147,0.391795827,1.450291922,0.313845053,0.73429793,0.652304313,8.18E-06,0.786484249,126314.2218,43.1575982,30.51979005,41.42355037,58.57644963,126314.2218,178619.1328,"28,806"
Harford,13,241473.9299,242683.596,110913.2097,108768.6689,1079.031361,1209.666091,5862.820046,5870.193423,380.0157052,481.4937307,8118.497053,45.93175327,45.70280462,44.8191269,0.444624762,0.498454,2.415828734,2.418867002,3.345301119,0.198403905,0.156588954,66250.77663,18.49575774,27.43599554,59.73208853,40.26791147,66250.77663,44662.43307,"260,924"
Howard,14,160199.3022,161168.0645,79402.29276,58595.56352,658.108101,968.7623141,5992.748796,6235.848599,158.1113665,0,9156.629013,49.56469328,49.26676573,36.35680785,0.408336542,0.60108826,3.718322744,3.869158955,5.681416504,0,0.09810341,39384.03265,24.98029615,24.58439713,49.60062397,50.39937603,39384.03265,40018.26011,"332,317"
Kent,15,175770.5815,179310.5954,52388.83135,115594.3887,334.8893205,3540.013897,847.9885707,1580.993324,40.51984617,2870.034359,2112.936089,29.80523299,29.21680742,64.46601128,0.186764937,1.97423576,0.472916042,0.881706583,1.178366557,1.600593848,0.022597575,24769.55769,15.71325157,14.09198142,47.28022568,52.71977432,24769.55769,27619.27366,"19,198"
Montgomery,16,315684.7845,317999.2654,146863.3667,123445.0252,1189.387388,2314.480922,14089.15092,13120.84526,497.8913966,17.41672857,16461.70087,46.52215562,46.18355534,38.81927999,0.374022055,0.72782587,4.430560839,4.126061499,5.176647451,0.005476971,0.156569983,72002.76795,23.71371774,22.80843788,49.02704436,50.97295564,72002.76795,74860.59875,"1,062,061"
Prince George's,17,307567.1884,310290.7394,160597.5458,86064.45967,3995.486442,2723.55103,13557.35815,14475.32869,1634.896645,2196.222711,25045.89025,52.21543515,51.75711854,27.73671552,1.287658939,0.877741642,4.36924356,4.665085629,8.071749191,0.70779512,0.526891859,86686.12797,24.0309827,28.18445245,53.97724325,46.02275675,86686.12797,73911.41783,"967,201"
Queen Anne's,18,235067.5808,238059.0099,80428.01434,142327.9938,779.0614899,2991.429078,1715.164627,3024.262711,493.9369692,3310.464612,2988.682255,34.21484752,33.78490668,59.78685448,0.32725562,1.256591414,0.72047877,1.270383638,1.255437572,1.390606729,0.207485098,37787.26802,18.13978183,16.07506568,46.98271906,53.01728094,37787.26802,42640.74632,"49,874"
Somerset,19,198931.7326,204465.5123,93193.19588,53680.83888,512.4923594,5533.77971,1005.989975,1058.345675,75.94833306,47183.65213,2221.269312,46.84682261,45.57893155,26.25422659,0.250649781,2.706461177,0.492009613,0.51761574,1.086378474,23.07658226,0.037144813,40113.43897,26.68239814,20.16442447,43.04331297,56.95668703,40113.43897,53079.75691,"113,777"
St. Mary's,20,227713.6945,230233.8136,134533.4675,75005.27317,1146.21536,2520.119054,2861.988855,4325.422535,153.2406723,2858.255093,6829.831371,59.08009519,58.43340967,32.57787029,0.497848401,1.094591196,1.24307929,1.878708634,2.966476237,1.241457563,0.066558717,84830.74692,21.82684738,37.25324781,63.05549727,36.94450273,84830.74692,49702.72058,"24,620"
Talbot,21,169445.0697,172510.2118,60746.77129,98161.66792,443.4632241,3065.142096,1799.23136,1837.816124,92.37219221,3648.04145,2715.706176,35.85042126,35.21343499,56.9019462,0.257064912,1.776788785,1.04297093,1.065337585,1.574229228,2.114681451,0.053545927,22312.49328,22.68244103,13.16798023,36.73033612,63.26966388,22312.49328,38434.27801,"37,526"
Washington,22,290750.4347,292901.9607,142154.4757,131013.3819,1781.088636,2151.526043,4005.598736,4125.727287,515.8571934,0,7154.3052,48.89226593,48.53312533,44.72943151,0.608083549,0.734555015,1.367556136,1.408569365,2.442559682,0,0.176119406,86717.80377,19.06675462,29.82551131,61.00251388,38.99748612,86717.80377,55436.67193,"154,705"
Wicomico,23,237457.0427,240479.6162,120296.6303,91504.62721,648.7596102,3022.573499,2789.613171,4012.141839,149.3640831,11854.34542,6201.560998,50.66037584,50.02362872,38.05088708,0.269777381,1.256893847,1.160020635,1.668391651,2.578830213,4.929459558,0.062110912,55532.80377,27.2739127,23.38646314,46.1632247,53.8367753,55532.80377,64763.82653,"103,588"
Worcester,24,295001.6309,301760.8517,165595.5218,102373.3834,3173.292214,6759.220761,2289.796577,2444.846555,395.69553,13579.36412,5149.73075,56.13376484,54.87640985,33.92533619,1.051591748,2.239926327,0.758811676,0.810193417,1.706560252,4.500041686,0.131128848,92836.72768,24.66386165,31.46990319,56.06234196,43.93765804,92836.72768,72758.79412,"52,460"
