COUNTY,TC_ID,Patch_A_2013,Edge_A_2013,SCore_A_2013,MCore_A_2013,Lcore_A_2013,Patch_A_2018,Edge_A_2018,SCore_A_2018,MCore_A_2018,Lcore_A_2018,Patch_Acres_2013,Edge_Acres_2013,SCore_Acres_2013,MCore_Acres_2013,Lcore_Acres_2013,Patch_Acres_2018,Edge_Acres_2018,SCore_Acres_2018,MCore_Acres_2018,Lcore_Acres_2018,Patch_Change,Edge_Change,Score_Change,Mcore_Change,Lcore_Change
Allegany,1,33516125,436033300,74192125,23345400,66750350,34477775,434243125,71813450,23844250,67795375,8282.002068,107746.0086,18333.24505,5768.765067,16494.34524,8519.630591,107303.6474,17745.46256,5892.033396,16752.57614,237.6285232,-442.3611934,-587.7824859,123.2683293,258.2309026
Anne Arundel,2,60209600,213567750,31488625,6758850,6928125,61014950,211070650,30190775,7679925,4728675,14878.09321,52773.65886,7780.996681,1670.145629,1711.974328,15077.09922,52156.61297,7460.291456,1897.747867,1168.479236,199.0060118,-617.0458955,-320.7052243,227.6022379,-543.4950923
Baltimore,3,84928400,286398950,32384650,0,0,82850900,286612775,31853500,1039850,0,20986.23228,70770.61254,8002.408938,0,0,20472.87164,70823.44977,7871.159118,256.9521343,0,-513.3606375,52.83722663,-131.2498208,256.9521343,0
Baltimore City,4,3195750,4052800,417650,0,0,3201800,4018500,420375,0,0,789.6858038,1001.467144,103.2034033,0,0,791.180789,992.9914425,103.8767644,0,0,1.49498525,-8.4757015,0.673361125,0,0
Calvert,5,22598250,186518625,30426000,7178075,4418500,22887950,185731975,28778075,7021325,4329500,5584.140566,46089.68483,7518.41673,1773.738223,1091.833443,5655.726885,45895.29968,7111.206223,1735.004514,1069.841098,71.5863185,-194.3851483,-407.2105071,-38.73370875,-21.992345
Caroline,6,37181675,96660950,13025575,1449425,0,37311900,96562575,12870925,1458900,0,9187.777801,23885.40405,3218.68471,358.1601646,0,9219.95705,23861.0951,3180.469922,360.5014845,0,32.17924862,-24.30895438,-38.21478825,2.341319875,0
Carroll,7,65384525,135731300,8685875,0,0,66536350,133940400,8956775,0,0,16156.84305,33539.88289,2146.323142,0,0,16441.46477,33097.34254,2213.263886,0,0,284.6217166,-442.5403445,66.9407445,0,0
Cecil,8,49407775,160977800,20900125,1172275,2277125,49831625,159731650,20364650,1173075,2258850,12208.90824,39778.41927,5164.525388,289.6750139,562.6889731,12313.6437,39470.48937,5032.206838,289.8726979,558.1731293,104.7354543,-307.9298958,-132.3185499,0.197684,-4.515843875
Charles,9,40026250,397353625,90081650,33179925,29203775,41012375,396020475,87948400,34357725,26682625,9890.686506,98188.06751,22259.62612,8198.925367,7216.398821,10134.36292,97858.63947,21732.48938,8489.965636,6593.410051,243.6764181,-329.4280308,-527.1367413,291.040269,-622.9887708
Dorchester,10,41069825,115337050,19425525,11226425,5885075,42553200,112682350,18794025,11129125,5732700,10148.55911,28500.36174,4800.144355,2774.10575,1454.231458,10515.10849,27844.3721,4644.097548,2750.062433,1416.578834,366.5493794,-655.9896435,-156.0468075,-24.0433165,-37.65262438
Frederick,11,49806950,262901400,35262875,7253975,75798850,51008250,261833075,34882775,7169200,74704850,12307.54638,64964.25045,8713.632727,1792.493492,18730.27483,12604.39362,64700.262,8619.708116,1771.545166,18459.94196,296.8472365,-263.9884491,-93.9246105,-20.94832638,-270.33287
Garrett,12,161476400,318725200,32177900,1841950,0,163817300,313530950,33266975,0,0,39901.62582,78758.59055,7951.31998,455.1550548,0,40480.07392,77475.0654,8220.435857,0,0,578.4480945,-1283.525146,269.1158779,-455.1550548,0
Harford,13,51728075,184395725,29888850,2902725,0,51108550,183454500,30156725,2919125,0,12782.26597,45565.10563,7385.684279,717.2778611,0,12629.17825,45332.52422,7451.877531,721.3303831,0,-153.0877251,-232.5814036,66.19325188,4.052522,0
Howard,14,35312375,108645475,14534575,0,2287225,35248575,107692625,14106800,0,2095975,8725.864424,26846.8401,3591.566155,0,565.1847336,8710.099125,26611.3861,3485.860814,0,517.9259024,-15.765299,-235.4539992,-105.7053414,0,-47.25883125
Kent,15,32135025,54993925,9269450,3895275,0,32157750,54915700,9117575,3895075,0,7940.725353,13589.27384,2290.527442,962.5419289,0,7946.340814,13569.94405,2252.99837,962.4925079,0,5.615461125,-19.32978863,-37.52907188,-0.049421,0
Montgomery,16,84051175,198346000,13626175,0,0,107602025,176850900,6779350,0,0,20769.4656,49012.28833,3367.095973,0,0,26588.99839,43700.74164,1675.211282,0,0,5819.532789,-5311.546686,-1691.884692,0,0
Prince George's,17,75729250,250495975,29373050,3410400,0,90081025,241487100,18723100,141850,0,18713.07632,61898.8079,7258.22752,842.726892,0,22259.47168,59672.66985,4626.571626,35.05184425,0,3546.395361,-2226.138057,-2631.655895,-807.6750478,0
Queen Anne's,18,32803500,98096875,20542000,1466500,0,33548025,97399275,20271625,1415325,0,8105.908868,24240.2283,5076.03091,362.3794825,0,8289.884718,24067.84785,5009.219896,349.7338841,0,183.9758501,-172.380448,-66.81101438,-12.64559838,0
Somerset,19,38303425,104922625,11258625,3795275,3712175,40384350,103246150,11001325,3772550,3717425,9464.967835,25926.90525,2782.062531,937.8314289,917.2970034,9979.174807,25512.6399,2718.482414,932.2159678,918.5943046,514.2069721,-414.2653549,-63.5801165,-5.615461125,1.29730125
St. Mary's,20,43643775,248836850,45011025,4091575,3355275,44307325,246741850,45644825,2754625,3208425,10784.59502,61488.82982,11122.44933,1011.04864,829.1052289,10948.56154,60971.14484,11279.06448,680.6816106,792.8178596,163.9665228,-517.684975,156.615149,-330.3670298,-36.28736925
Talbot,21,24260925,54705700,10042175,1531900,0,24493550,54398850,9711125,1535800,0,5994.995872,13518.052,2481.471653,378.5401495,0,6052.478673,13442.22783,2399.667543,379.503859,0,57.48280063,-75.82416925,-81.80411025,0.9637095,0
Washington,22,31824850,206344175,35585400,14689750,62404425,31664400,206835550,35622700,14658575,61349800,7864.079559,50988.67736,8793.330267,3629.910674,15420.44544,7824.431562,51110.09858,8802.547284,3622.207175,15159.84233,-39.64799725,121.4212194,9.2170165,-7.703498375,-260.6031106
Wicomico,23,54223175,145820500,20373475,4196675,1693225,56310775,142703800,19898400,4401225,1072800,13398.81766,36032.97465,5034.38754,1037.019376,418.4043636,13914.67406,35262.8225,4916.994132,1087.564704,265.094244,515.856398,-770.1521535,-117.3934079,50.54532775,-153.3101196
Worcester,24,50382300,253153175,49820300,11868975,13500150,52705250,249278425,47319025,12935850,12693775,12449.71824,62555.41531,12310.84523,2932.883067,3335.954566,13023.7308,61597.94521,11692.76767,3196.513214,3136.695271,574.0125598,-957.4700988,-618.0775589,263.6301469,-199.2592944
